attendance,satisfaction,income
0,0.0,0.0
9,0.45,43.199999999999996
0,0.0,0.0
0,0.0,0.0
10,0.33333333333333337,47.5
7,0.5833333333333333,32.199999999999996
7,0.5833333333333333,31.149999999999995
0,0.0,0.0
10,0.33333333333333337,42.49999999999999
0,0.0,0.0
10,0.33333333333333337,41.0
0,0.0,0.0
10,0.33333333333333337,39.416666666666664
0,0.0,0.0
10,0.33333333333333337,37.91666666666667
0,0.0,0.0
10,0.33333333333333337,36.47916666666667
0,0.0,0.0
10,0.33333333333333337,35.09027777777778
1,0.016666666666666663,3.674027777777778
10,0.33333333333333337,33.79027777777778
0,0.0,0.0
9,0.45,29.265795454545454
0,0.0,0.0
10,0.33333333333333337,31.225883838383837
0,0.0,0.0
10,0.33333333333333337,29.956653069153067
0,0.0,0.0
10,0.33333333333333337,28.706653069153067
0,0.0,0.0
10,0.33333333333333337,27.473319735819732
0,0.0,0.0
10,0.33333333333333337,26.25456973581973
0,0.0,0.0
10,0.33333333333333337,25.048687382878555
0,0.0,0.0
10,0.33333333333333337,23.85424293843411
0,0.0,0.0
10,0.33333333333333337,22.67003241211832
0,0.0,0.0
10,0.33333333333333337,21.495032412118324
0,0.0,0.0
10,0.33333333333333337,20.328365745451656
0,0.0,0.0
10,0.33333333333333337,19.169274836360746
1,0.016666666666666663,2.0995361792882483
10,0.33333333333333337,18.038840053752047
0,0.0,0.0
10,0.33333333333333337,16.913840053752047
0,0.0,0.0
10,0.33333333333333337,15.793840053752046
0,0.0,0.0
10,0.33333333333333337,14.67845543836743
0,0.0,0.0
9,0.45,12.21060989453069
0,0.0,0.0
10,0.33333333333333337,12.44234432725632
0,0.0,0.0
10,0.33333333333333337,11.321654672083907
0,0.0,0.0
10,0.33333333333333337,10.204988005417242
0,0.0,0.0
10,0.33333333333333337,9.09208477961079
0,0.0,0.0
10,0.33333333333333337,7.98270977961079
0,0.0,0.0
10,0.33333333333333337,6.876649173550184
0,0.0,0.0
10,0.33333333333333337,5.773707997079596
0,0.0,0.0
10,0.33333333333333337,4.673707997079594
0,0.0,0.0
10,0.33333333333333337,3.5764857748573724
0,0.0,0.0
10,0.33333333333333337,2.4818911802627768
0,0.0,0.0
10,0.33333333333333337,1.389785917104882
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
1,0.016666666666666663,0.290625
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
9,0.45,0.9
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
1,0.016666666666666663,0.2919354838709677
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
1,0.016666666666666663,0.29218750000000004
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
1,0.016666666666666663,0.2928571428571429
10,0.33333333333333337,1.0
0,0.0,0.0
9,0.45,0.9
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
1,0.016666666666666663,0.2928571428571429
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
9,0.45,0.9
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
0,0.0,0.0
10,0.33333333333333337,1.0
