attendance,satisfaction,income
6,0.6,60
5,0.5,50
7,0.0,70
1,0.1,10
9,0.0,90
10,0.0,100
0,0.0,0
8,0.0,80
3,0.3,30
9,0.0,90
5,0.5,50
3,0.3,30
10,0.0,100
0,0.0,0
10,0.0,100
8,0.0,80
0,0.0,0
8,0.0,80
5,0.5,50
7,0.0,70
6,0.6,60
1,0.1,10
10,0.0,100
5,0.5,50
8,0.0,80
0,0.0,0
10,0.0,100
7,0.0,70
2,0.2,20
8,0.0,80
5,0.5,50
7,0.0,70
6,0.6,60
1,0.1,10
10,0.0,100
5,0.5,50
8,0.0,80
0,0.0,0
10,0.0,100
7,0.0,70
2,0.2,20
8,0.0,80
5,0.5,50
7,0.0,70
6,0.6,60
1,0.1,10
10,0.0,100
5,0.5,50
8,0.0,80
0,0.0,0
10,0.0,100
7,0.0,70
2,0.2,20
8,0.0,80
5,0.5,50
7,0.0,70
6,0.6,60
1,0.1,10
10,0.0,100
5,0.5,50
8,0.0,80
0,0.0,0
10,0.0,100
7,0.0,70
2,0.2,20
8,0.0,80
5,0.5,50
7,0.0,70
6,0.6,60
1,0.1,10
10,0.0,100
5,0.5,50
8,0.0,80
0,0.0,0
10,0.0,100
7,0.0,70
2,0.2,20
8,0.0,80
5,0.5,50
7,0.0,70
6,0.6,60
1,0.1,10
10,0.0,100
5,0.5,50
8,0.0,80
0,0.0,0
10,0.0,100
7,0.0,70
2,0.2,20
8,0.0,80
5,0.5,50
7,0.0,70
6,0.6,60
1,0.1,10
10,0.0,100
5,0.5,50
8,0.0,80
0,0.0,0
10,0.0,100
7,0.0,70
